CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,Class
0,1,8,2,0,8,6,1,0,0,1,12,8,2,0,0,0,6,0,2,0,0,0,0,0,0,2,0,3,0,3,8,2,0,0,0,1
0,0,16,0,0,9,3,0,0,0,1,18,1,4,0,0,1,11,0,1,0,0,2,0,1,0,1,0,2,0,1,14,0,0,0,0,1
0,0,5,0,0,2,2,0,0,0,0,4,4,7,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,1
1,3,5,2,0,9,1,0,0,0,0,5,7,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,5,2,0,0,0,0,1
1,3,7,0,0,4,3,0,0,0,1,4,1,7,0,0,0,4,1,0,0,0,1,0,0,0,1,0,0,1,0,6,0,0,0,0,1
1,1,8,2,0,4,4,0,0,0,1,15,5,0,0,0,0,5,5,4,0,0,0,0,3,0,4,1,0,0,2,6,0,0,0,0,1
0,1,10,0,0,7,6,0,0,0,0,13,5,4,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,2,6,7,0,0,0,0,1
2,0,10,0,0,6,4,0,2,0,0,7,9,1,0,0,0,7,1,3,0,0,0,0,1,0,1,1,0,0,10,1,0,0,0,0,1
1,3,6,1,0,9,10,0,0,0,0,9,6,2,0,0,0,4,3,5,0,0,0,0,1,0,2,0,1,0,1,7,0,0,0,0,1
0,3,6,0,0,3,1,0,1,0,0,8,3,7,0,0,0,5,1,1,0,0,0,0,3,0,2,0,0,0,0,8,0,0,0,0,1
2,1,12,0,0,4,2,0,0,0,1,7,3,4,0,0,0,6,0,5,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,1
0,1,9,0,0,4,3,0,0,0,0,9,1,4,0,0,0,4,1,3,0,0,1,0,2,0,1,0,1,0,0,10,0,0,0,1,1
1,1,17,0,0,7,6,0,0,0,1,17,1,1,0,0,0,7,0,1,0,0,0,0,1,0,1,0,1,0,1,10,0,0,0,0,1
0,2,6,0,0,9,4,0,0,0,0,8,4,4,0,0,0,8,1,1,0,0,0,0,4,0,4,1,0,0,5,6,0,0,0,0,1
0,3,11,2,0,11,3,0,0,0,1,18,7,3,0,0,0,5,0,2,0,0,0,0,3,0,2,0,0,1,6,4,0,0,0,0,1
0,2,4,2,0,4,2,0,0,0,1,5,5,3,0,0,0,1,0,3,0,0,0,0,1,0,2,0,1,1,1,5,0,0,0,0,1
1,2,7,1,0,7,4,0,0,0,0,6,7,2,0,0,0,8,0,3,0,0,0,0,3,0,0,1,0,0,5,3,0,0,0,0,1
0,1,7,0,0,8,2,0,0,0,0,9,5,4,0,0,0,9,4,5,0,0,0,0,2,0,1,0,1,0,3,10,0,0,0,0,1
0,1,9,0,0,6,3,1,0,0,2,12,2,6,4,0,0,4,0,3,0,0,0,0,1,0,3,0,2,0,1,5,0,1,0,0,1
0,2,15,0,0,11,6,0,0,0,0,15,2,3,0,0,1,8,2,4,0,1,0,0,1,0,0,0,0,0,0,12,0,0,0,0,1
1,5,20,0,0,6,2,1,0,0,2,21,5,6,0,0,1,5,0,2,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,1
1,3,11,0,0,7,2,0,0,0,4,13,7,2,0,0,0,5,2,5,0,0,0,0,3,0,7,0,0,0,3,5,0,0,0,0,1
0,0,17,0,0,7,3,0,0,0,2,18,10,4,0,0,0,8,1,6,0,0,0,0,2,0,4,0,0,1,7,8,0,1,0,0,1
1,1,9,0,0,8,4,0,0,0,0,11,2,0,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
